level_0,index,caption,caption_summary,image
51,52,Experimental LCPD maps of FCl-An and An acquired with the same CO-tip in constant height mode.,"['material science', 'characterization techniques', 'LCPD maps']",image_folder/s41467-023-40593-3_fig3_e.jpg
52,53,MALDI-IMS colormap of bottom chip with inset showing imaged window from VT-LCTEM experiment on PDEGMA with a mass filter of 4000 ± 200 m/z displayed as 0–100% of total intensity on a logarithmic scale.,"['MALDI-IMS', 'PDEGMA', 'VT-LCTEM']",image_folder/s41467-021-26773-z_fig2_d.jpg
53,54,Single frames of VT-LCTEM experiment on 20 mg mL− 1 PDEGMA in water imaged at a flux of 0.8 e−Å− 2s− 1 and heated to 60 °C.,"['VT-LCTEM', 'PDEGMA', 'characterization']",image_folder/s41467-021-26773-z_fig2_f.jpg
54,55,Single frames of VT-LCTEM experiment on 10 mg mL− 1 PEG-b-PDEGMA in water imaged at a flux of 0.8 e−Å− 2s− 1and heated to 60 °C.,"['VT-LCTEM', 'PEG-b-PDEGMA', 'characterization']",image_folder/s41467-021-26773-z_fig3_c.jpg
55,56,Formation of vesicular assemblies at 65 °C during a VT-LCTEM experiment on PEG-b-PDEGMA.,"['vesicular assemblies', 'VT-LCTEM', 'PEG-b-PDEGMA']",image_folder/s41467-021-26773-z_fig3_e.jpg
56,57,"Dry state TEM image of the triblock copolymer, highlighting formation of 60 nm micelles.","['triblock copolymer', 'micelles', 'TEM image']",image_folder/s41467-021-26773-z_fig4_b.jpg
57,58,iDPC-STEM images of empty ZSM-5 straight channels,"['ZSM-5', 'iDPC-STEM', 'characterization']",image_folder/s41586-022-04876-x_fig1_b.jpg
58,59,the channels after the saturated pyridine adsorption,"['channels', 'saturated pyridine adsorption']",image_folder/s41586-022-04876-x_fig1_c.jpg
59,60,iDPC-STEM image of ZSM-5 after saturated pyridine adsorption,"['ZSM-5', 'pyridine adsorption', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig2_b.jpg
60,61,iDPC-STEM image of empty ZSM-5 crystal,"['ZSM-5', 'iDPC-STEM', 'characterization']",image_folder/s41586-022-04876-x_fig2_a.jpg
61,62,iDPC-STEM image of ZSM-5 during pyridine desorption (time interval: 3 min),"['ZSM-5', 'pyridine desorption', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig2_c.jpg
62,63,"Magnified iDPC-STEM image of a near-horizontal pyridine with an obvious ring structure in the ZSM-5 channel. Scale bar, 0.5 nm.","['pyridine', 'ZSM-5', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig3_a.jpg
63,64,Simulated iDPC-STEM image based on the model in c.,"['iDPC-STEM', 'simulation', 'model']",image_folder/s41586-022-04876-x_fig3_d.jpg
64,65,Marks for the C or N atoms (red dots) and the positions of intensity profiles (red arrow).,"['C or N atoms', 'intensity profiles']",image_folder/s41586-022-04876-x_fig3_b.jpg
65,66,"Magnified iDPC-STEM images of two thiophenes in the ZSM-5 channels (extracted from the red and blue boxes in b) showing clear ring structures. Scale bar, 0.5 nm.","['thiophenes', 'ZSM-5 channels', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig4_c.jpg
66,67,"Magnified iDPC-STEM images of two thiophenes in the ZSM-5 channels (extracted from the red and blue boxes in b) showing clear ring structures. Scale bar, 0.5 nm.","['thiophenes', 'ZSM-5 channels', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig4_d.jpg
67,68,"iDPC-STEM image of the thiophene/ZSM-5 sample prepared outside the scanning transmission electron microscope. Scale bar, 2 nm.","['thiophene', 'ZSM-5', 'iDPC-STEM']",image_folder/s41586-022-04876-x_fig4_b.jpg
68,70,Clusters of biomolecules are visible in the hard corona of NPs after washing three times,"['biomolecules', 'hard corona', 'NPs']",image_folder/s41467-020-20884-9_fig1_c.jpg
69,71,"Higher-magnification images (b, d) of the surface of a single NP shows the clusters of biomolecules in the hard corona","['nanoparticles', 'biomolecules', 'surface']",image_folder/s41467-020-20884-9_fig1_b.jpg
70,72,Clusters of biomolecules are visible on both the carbon support film of the Cu TEM grid and the surface of the NPs before washing,"['biomolecules', 'carbon support film', 'Cu TEM grid']",image_folder/s41467-020-20884-9_fig1_a.jpg
71,73,NPs with corona,"['nanoparticles', 'corona', 'characterization']",image_folder/s41467-020-20884-9_fig2_b.jpg
72,74,higher magnification of the NPs showing the distribution of biomolecules and their association with the surface of the NPs,"['nanoparticles', 'biomolecules', 'surface']",image_folder/s41467-020-20884-9_fig2_d.jpg
73,75,Original NPs without corona,"['nanoparticles', 'corona', 'characterization']",image_folder/s41467-020-20884-9_fig2_a.jpg
74,76,higher magnification of the NPs showing the distribution of biomolecules and their association with the surface of the NPs,"['nanoparticles', 'biomolecules', 'surface']",image_folder/s41467-020-20884-9_fig2_c.jpg
75,79,Lower magnification shows of the distribution of the biomolecules,"['biomolecules', 'distribution', 'magnification']",image_folder/s41467-020-20884-9_fig5_a.jpg
76,80,Do not hallucinate a NPs without BC,"['nanoparticles', 'bacterial cellulose', 'characterization']",image_folder/s41467-020-20884-9_fig6_a.jpg
77,81,Do not hallucinate b NPs with BC,"['nanoparticles', 'characterization', 'materials']",image_folder/s41467-020-20884-9_fig6_b.jpg
78,82,"The center of the NPs, as detected via the Hough transformation, extended to 3D spherical shells.","['Nanoparticles', 'Hough transformation', 'spherical shells']",image_folder/s41467-020-20884-9_fig8_c.jpg
79,83,The slice after implementing the optimum binarization threshold.,"['binarization threshold', 'slice', 'implementation']",image_folder/s41467-020-20884-9_fig8_b.jpg
80,84,The 42nd raw slice of the low-concentration sample.,"['material science', 'characterization techniques', 'low-concentration sample']",image_folder/s41467-020-20884-9_fig8_a.jpg
81,85,A binarized image showing the BC (white) surrounding the NP (blue).,"['binarized image', 'BC', 'NP']",image_folder/s41467-020-20884-9_fig9_b.jpg
82,87,A tomographic slice shows the BC surrounding the NPs (full series of 256 distinct cryo-EM images are provided in 10%Corona.rar and 50%Corona.rar files of the SI). The large circles represent spherical NPs. The BC is represented by black points forming clusters around the NPs. The horizontal black bar-like shapes in the bottom right corner of the image are artifacts of smaller gold NPs (used for focusing purposes) that are used to measure the scale of the image.,"['tomography', 'cryo-EM', 'nanoparticles']",image_folder/s41467-020-20884-9_fig9_a.jpg
83,88,Structure of PEG-b-PEGMeA-co-PEGPhA-b-PS.,"['PEG', 'PEGMeA', 'PEGPhA', 'PS']",image_folder/s41467-023-38781-2_fig1_b.jpg
84,89,The liquid-cell platform is used for both LCTEM and liquid RSoXS.,"['liquid-cell platform', 'LCTEM', 'liquid RSoXS']",image_folder/s41467-023-38781-2_fig1_a.jpg
85,90,Dry state TEM of PEG-b-PEGMeA-co-PEGPhA-b-PS dried from IPA.,"['TEM', 'PEG', 'characterization']",image_folder/s41467-023-38781-2_fig1_e.jpg
86,91,Segmented region of interest for each timepoint.,"['segmentation', 'region of interest', 'timepoint']",image_folder/s41467-023-38781-2_fig3_b.jpg
87,92,Region of interest in raw VT-LCTEM data over course of heating experiment (see Supplementary Fig. 7 for uncropped images).,"['VT-LCTEM', 'heating experiment', 'raw data']",image_folder/s41467-023-38781-2_fig3_a.jpg
88,93,Electron micrograph field showing a fairly uniform population of receptor-decorated liposomes and multiple instances of virus attachment.,"['liposomes', 'virus attachment', 'electron micrograph']",image_folder/nsmb955_fig1_a.jpg
89,94,Individually windowed particles in which density corresponding to receptor can be observed linking native virus to the membrane.,"['particles', 'density', 'receptor']",image_folder/nsmb955_fig1_b.jpg
90,95,Three-dimensional reconstruction computed from dotted images using icosahedral orientations from undotted images.,"['reconstruction', 'icosahedral orientations', 'images']",image_folder/nsmb955_fig2_b.jpg
91,96,"A gray-scale representation of a central slice of the reconstruction that is 27 Å thick. This view shows the protrusion of the membrane toward the viral five-fold axis (red arrow) and a weak but continuous density connection between the C-terminal domain of the receptor and the membrane (yellow arrow). Note the clear separation between the inner and outer leaflets of the bilayer, in both the bulged and peripheral areas of the membrane.","['membrane', 'reconstruction', 'bilayer']",image_folder/nsmb955_fig3_c.jpg
92,97,"In a surface rendering of the complex (green), the icosahedral features of the virus capsid are maintained, and the density for receptors and membrane are well defined.","['virus capsid', 'receptors', 'membrane']",image_folder/nsmb955_fig3_a.jpg
93,98,Experimental repeat-unit averaged image from the ADF STEM image and the crystal structure model of Fe-3%Si projected along the [110] direction. Scale bar indicates 0.2 nm,"['material science', 'ADF STEM image', 'crystal structure model']",image_folder/s41467-019-10281-2_fig3_d.jpg
94,99,"Experimental ADF STEM image of Fe-3%Si observed along the [110] direction. Scale bar indicates 0.5 nm. This image is cropped from the averaged image of very fast scan STEM images acquired in ten sequential frames, each containing 512 × 512 pixels at a dwell time of 4 μs/pixel.","['material science', 'Fe-3%Si', 'ADF STEM']",image_folder/s41467-019-10281-2_fig3_c.jpg
95,100,"Experimental ADF STEM image of a GaN single crystal observed along the [111] direction. Scale bar indicates 0.5 nm. This image is cropped from the averaged image of very fast scan STEM images acquired in ten sequential frames, each containing 512 × 512 pixels at a dwell time of 5 μs/pixel followed by image filtering with the radial difference filter18, released by the HREM Research, in order to remove background noise.","['GaN', 'STEM', 'crystal']",image_folder/s41467-019-10281-2_fig3_a.jpg
96,101,The sum over 300 images. Each image was taken in a separate experimental run.,"['images', 'experimental run', 'characterization']",image_folder/nphys1102_fig2_b.jpg
97,102,"An image of a 87Rb condensate. The image has 400×150 pixels with a pixel size of 300 nm×300 nm. Each pixel was illuminated for 2 μs with the electron beam (140 nm FWHM beam diameter). Every dot corresponds to a detected atom. In total, 350 ions were collected during the exposure. The condensate contains about 105 atoms and the oscillation frequencies in the dipole trap are νa=12 Hz (νρ=170 Hz) in the axial (radial) direction.","['image', 'condensate', 'atoms']",image_folder/nphys1102_fig2_a.jpg
98,103,"The lattice, which is created by two laser beams (wavelength λ=850 nm) intersecting at 90∘, has a period of l=600 nm. Each image is the sum of 50 individual images. The pixel size is 200 nm×200 nm","['lattice', 'laser beams', 'characterization']",image_folder/nphys1102_fig4_a.jpg
99,104,25 nm×25 nm,"['nanoparticles', 'characterization', 'size']",image_folder/nphys1102_fig4_c.jpg
100,105,75 nm×75 nm,"['nanoparticles', 'characterization', 'size']",image_folder/nphys1102_fig4_b.jpg
101,106,A single emptied site (sum over 127 images). The lattice depth of 18 recoil energies is enough to suppress refilling of the lattice site.,"['empty site', 'lattice depth', 'recoil energies']",image_folder/nphys1102_fig6_a.jpg
102,107,Same YZ slice of the 3D STEM reconstruction,"['STEM reconstruction', 'materials characterization']",image_folder/s41598-023-39291-3_fig2_d.jpg
103,108,Same XZ slice of the 3D STEM reconstruction,"['3D STEM reconstruction', 'XZ slice']",image_folder/s41598-023-39291-3_fig2_f.jpg
104,109,Same XY slice of the 3D STEM reconstruction,"['3D STEM reconstruction', 'XY slice']",image_folder/s41598-023-39291-3_fig2_e.jpg
105,110,Selected XY slice of the 3D TEM reconstruction,"['TEM reconstruction', 'materials characterization', '3D imaging']",image_folder/s41598-023-39291-3_fig2_b.jpg
106,111,Selected XZ slice of the 3D TEM reconstruction,"['TEM reconstruction', 'materials characterization']",image_folder/s41598-023-39291-3_fig2_c.jpg
107,112,Selected YZ slice of the 3D TEM reconstruction,"['TEM reconstruction', 'materials characterization']",image_folder/s41598-023-39291-3_fig2_a.jpg
108,113,0° projections before EMD,"['material science', 'characterization techniques', 'EMD']",image_folder/s41598-023-39291-3_fig3_a.jpg
109,114,0° backprojections before EMD,"['material science', 'characterization techniques', 'EMD']",image_folder/s41598-023-39291-3_fig3_c.jpg
110,115,0° projections after EMD,"['EMD', 'projections', 'material science']",image_folder/s41598-023-39291-3_fig3_b.jpg
111,116,0° backprojections after EMD,"['backprojections', 'EMD']",image_folder/s41598-023-39291-3_fig3_d.jpg
112,117,Selected XY slice of the reconstruction,"['reconstruction', 'XY slice', 'characterization']",image_folder/s41598-023-39291-3_fig5_b.jpg
113,118,Same XZ slice of the mathematical model,"['mathematical model', 'XZ slice']",image_folder/s41598-023-39291-3_fig5_f.jpg
114,119,Isosurface of the 3D reconstruction indicating consistency of cross-sections,"['3D reconstruction', 'isosurface', 'consistency']",image_folder/s41598-023-39291-3_fig5_g.jpg
115,120,Isosurface of the mathematical model indicating consistency of cross-sections,"['mathematical model', 'consistency', 'cross-sections']",image_folder/s41598-023-39291-3_fig5_h.jpg
116,121,Same YZ slice of the mathematical model,"['mathematical model', 'YZ slice']",image_folder/s41598-023-39291-3_fig5_d.jpg
117,122,Same XY slice of the mathematical model,"['mathematical model', 'XY slice']",image_folder/s41598-023-39291-3_fig5_e.jpg
118,123,Selected XZ slice of the reconstruction,"['reconstruction', 'XZ slice', 'characterization']",image_folder/s41598-023-39291-3_fig5_c.jpg
119,124,Selected YZ slice of the reconstruction,"['reconstruction', 'materials', 'characterization']",image_folder/s41598-023-39291-3_fig5_a.jpg
120,125,"The average inner(r), and outer diameters(R) and the interval between circles(D) of the reconstructions and model were calculated from selected local areas","['diameters', 'reconstructions', 'model']",image_folder/s41598-023-39291-3_fig6_d.jpg
121,126,The XY slice of unstained PS-P2VP,"['PS-P2VP', 'unstained', 'XY slice']",image_folder/s41598-023-39291-3_fig6_b.jpg
122,127,The XY slice of the mathematical model,"['mathematical model', 'XY slice']",image_folder/s41598-023-39291-3_fig6_c.jpg
123,128,The XY slice of stained PS-P2VP,"['stained', 'PS-P2VP', 'XY slice']",image_folder/s41598-023-39291-3_fig6_a.jpg
124,129,Asymmetric reconstruction of the HCMV B-capsid with the front half of the capsid shell (gray) removed. The portal is in yellow and the three layers of scaffolds are colored as in Fig. 1a.,"['HCMV', 'B-capsid', 'reconstruction']",image_folder/s41467-023-37779-0_fig2_a.jpg
125,130,"Hydrophobic surface (portal, hydrophobic, gold; hydrophilic, cyan) and ribbon model (scaffold), showing the hydrophobic interaction between the scaffold fragment and the portal protein.","['hydrophobic surface', 'ribbon model', 'hydrophobic interaction']",image_folder/s41467-023-37779-0_fig4_d.jpg
126,131,"Three-dimensional rendering of refined predictions for jrc_hela-2. Classes shown are plasma membrane (grey), ER (green), mitochondria (orange), nucleus (purple), endosomal system (blue), vesicles (red) and Golgi (cyan). Scale bar, 2 μm. The bottom inset shows a zoomed-in region of Golgi and vesicles. Scale bar, 2 μm. The top right inset shows a single FIB-SEM slice with overlay of refined Golgi (cyan, transparent) and Golgi membrane (cyan, opaque) segmentations. Scale bar, 200 nm.","['3D rendering', 'predictions', 'FIB-SEM']",image_folder/s41586-021-03977-3_fig2_b.jpg
127,134,"Electron micrographs of the intra-cavity standing laser wave at different magnifications. Scale bars, 100 µm (b), 10 µm (c), 1 µm (d). The inset in b shows a magnified view of the region indicated by the yellow square. The coordinate axes annotation in c shows the axes used in e.","['electron microscopy', 'laser wave', 'magnification']",image_folder/s41592-019-0552-2_fig2_b.jpg
128,135,"Absolute value squared of the Fourier transforms (FFT) of the images in a,b, in logarithmic scale, shown in the spatial frequency range from −1.5 nm−1 to 1.5 nm−1 along both axes.","['Fourier transforms', 'images', 'logarithmic scale']",image_folder/s41592-019-0552-2_fig3_d.jpg
129,136,"For comparison, a defocus-based phase-contrast image with the laser off, at a defocus of 880 nm, at the same magnification and using the same gray scale as in a.","['defocus', 'phase-contrast', 'image']",image_folder/s41592-019-0552-2_fig3_b.jpg
130,137,A close-to-focus image of a 3 nm-thick amorphous carbon film with the laser phase plate enabled.,"['amorphous carbon film', 'laser phase plate', 'close-to-focus image']",image_folder/s41592-019-0552-2_fig3_a.jpg
131,138,"Absolute value squared of the Fourier transforms (FFT) of the images in a,b, in logarithmic scale, shown in the spatial frequency range from −1.5 nm−1 to 1.5 nm−1 along both axes.","['Fourier transforms', 'images', 'logarithmic scale']",image_folder/s41592-019-0552-2_fig3_c.jpg
132,139,Images of the carbon film with the unscattered electron beam passing through an antinode (a) and a node (b) of the standing wave.,"['carbon film', 'electron beam', 'standing wave']",image_folder/s41592-019-0552-2_fig4_b.jpg
133,140,Images of the carbon film with the unscattered electron beam passing through an antinode (a) and a node (b) of the standing wave.,"['carbon film', 'electron beam', 'standing wave']",image_folder/s41592-019-0552-2_fig4_a.jpg
134,141,"Absolute value squared of the Fourier transforms of the images in a,b, in logarithmic scale, shown in the spatial frequency range from −1.5 nm−1 to 1.5 nm−1 along both axes.","['Fourier transforms', 'images', 'logarithmic scale']",image_folder/s41592-019-0552-2_fig4_c.jpg
135,142,"Absolute value squared of the Fourier transforms of the images in a,b, in logarithmic scale, shown in the spatial frequency range from −1.5 nm−1 to 1.5 nm−1 along both axes.","['Fourier transforms', 'images', 'logarithmic scale']",image_folder/s41592-019-0552-2_fig4_d.jpg
136,143,"The correlation editor, showing a super-resolution fluorescence image overlayed on a cryo-electron tomographic reconstruction.","['super-resolution', 'fluorescence', 'cryo-electron tomography']",image_folder/s41592-023-01991-z_fig1_b.jpg
137,144,π–π stacking distance.,"['material science', 'characterization techniques', 'π–π stacking']",image_folder/s41467-023-40806-9_fig2_b.jpg
138,145,Tapping-mode AFM topography of the Hf-MOLs with different regions.,"['AFM', 'Hf-MOLs', 'topography']",image_folder/s41467-022-32330-z_fig1_d.jpg
139,146,A representative high-resolution HAADF-STEM image of MOLs shows hexagonal arrangements of clusters.,"['MOLs', 'HAADF-STEM', 'hexagonal arrangements']",image_folder/s41467-022-32330-z_fig1_c.jpg
140,147,Height profile along the red line in d and blue line in e.,"['height profile', 'red line', 'blue line']",image_folder/s41467-022-32330-z_fig1_e.jpg
141,148,HRTEM image of Hf-MOLs after baking the growth solution at 120 °C for 30 min (early-stage product).,"['Hf-MOLs', 'HRTEM', 'baking']",image_folder/s41467-022-32330-z_fig2_b.jpg
142,149,"Enlarged region of the white frame in a, where a row of clusters disappeared.","['clusters', 'disappearance']",image_folder/s41467-022-32330-z_fig3_b.jpg
143,150,"A HAADF-STEM image of MOLs shows the missing-cluster regions. The inset is the enlarged region of the yellow frame, which shows one cluster missing from the center, as indicated by the white arrow. The area indicated by the yellow arrow was caused by the electron beam irradiation for >10 s.","['MOLs', 'HAADF-STEM', 'missing-cluster']",image_folder/s41467-022-32330-z_fig3_a.jpg
144,151,"HAADF-STEM image of Hf-MOLs shows the step-edge site surface structure. The inset shows the enlarged region of the white square, and the white arrows indicate the position to add a new cluster.","['Hf-MOLs', 'HAADF-STEM', 'step-edge site']",image_folder/s41467-022-32330-z_fig3_g.jpg
145,152,HAADF-STEM image shows the boundary between Hf-MOLs.,"['Hf-MOLs', 'boundary', 'HAADF-STEM']",image_folder/s41467-022-32330-z_fig3_e.jpg
